#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      231.0    90.0    86.8   148.0   159.9   219.4   249.2   266.8   279.3   294.3   313.6   342.2   409.1   713.4  3773.1  29938.6    30000  1777250497185  1777250507353
read      239.5   100.8    86.8   150.2   162.9   226.9   257.6   275.0   289.0   305.0   325.2   358.8   436.4  1237.8  4036.3  29992.3    30005  1777250508868  1777250519009
read      242.1   100.5    86.8   149.4   162.1   229.7   261.6   279.4   292.5   308.3   328.2   361.3   450.3  1353.0  3230.8  30080.0    30010  1777250520523  1777250530630
read      229.8    99.9    93.8   145.9   156.8   214.8   244.0   261.8   274.3   290.7   311.7   344.4   468.7  1319.2  3230.2  30050.5    30015  1777250532143  1777250542248
read      230.8   120.1    86.8   143.9   155.4   216.3   246.3   263.9   276.0   291.6   311.2   342.3   451.7  1606.3  4750.7  29965.9    30020  1777250543761  1777250553862
read      247.6    93.4    93.8   153.2   166.6   234.4   267.0   285.1   297.8   314.4   336.2   371.5   497.1  1033.4  2896.5  30171.7    30025  1777250555373  1777250565477
read      249.0    89.1    93.8   156.8   170.8   238.3   269.0   286.2   298.0   313.7   333.8   366.1   470.9   859.0  3309.9  29995.5    30030  1777250566991  1777250577092
read      245.1    97.4    93.8   152.7   166.1   233.5   264.7   282.0   294.5   310.4   330.6   364.2   462.1   958.7  3489.0  30069.1    30035  1777250578606  1777250588711
read      245.7    94.4    93.8   154.5   167.5   232.8   264.6   282.6   295.5   312.1   333.3   367.7   468.2   942.2  3373.2  30091.5    30040  1777250590224  1777250600327
read      262.4   142.2   101.3   157.4   169.7   237.2   271.9   292.8   309.2   329.6   359.6   424.9   725.4  1852.7  4170.6  30050.5    30045  1777250601840  1777250611946
read      251.9   118.7    93.8   155.4   167.6   233.8   267.4   287.1   301.6   319.1   343.8   389.0   557.4  1333.4  4270.6  30059.4    30050  1777250613460  1777250623565
read      263.5   130.6   101.3   159.4   173.2   246.6   281.6   301.6   316.6   335.4   360.3   401.3   550.1  1792.5  4935.3  30039.7    30055  1777250625079  1777250635181
read      260.3   141.3   101.3   157.4   170.2   240.6   275.1   295.4   310.9   329.2   354.4   400.0   579.8  2139.9  4714.2  30083.0    30060  1777250636695  1777250646800
read      269.6   123.2   101.3   164.1   178.5   254.4   289.1   309.2   323.5   342.0   366.6   404.9   539.1  1700.4  4260.7  30064.1    30065  1777250648314  1777250658422
read      244.0    99.2    86.8   152.2   164.7   229.5   261.2   279.1   292.5   309.1   330.9   369.2   511.5  1083.0  3232.1  30003.2    30070  1777250659935  1777250670037
read      250.0   121.9    93.8   153.7   166.5   232.7   265.6   284.7   298.3   315.9   339.2   376.3   522.6  1860.9  4144.1  30106.2    30075  1777250671551  1777250681655
read      229.9    89.3    93.8   148.6   159.0   216.4   245.8   263.8   276.4   292.3   312.4   342.7   428.4  1088.9  2981.2  30104.1    30080  1777250683169  1777250693270
read      258.2   108.9    93.8   154.9   169.1   244.1   278.3   297.6   312.9   330.9   354.9   394.9   508.5  1303.6  3642.3  30116.2    30085  1777250694783  1777250704884
read      247.0   132.3    93.8   152.8   165.3   230.8   263.0   281.6   295.2   312.7   335.3   371.1   481.4  1970.1  5281.6  30140.5    30090  1777250706397  1777250716507
read      245.9   144.8    93.8   150.3   162.1   228.0   261.0   279.9   294.1   311.8   334.6   370.7   493.3  2413.5  4972.4  30061.4    30095  1777250718019  1777250728121
read      238.9   109.5    93.8   153.8   165.7   225.6   255.1   272.2   285.1   299.5   318.4   348.4   438.0  1350.3  4395.6  30057.8    30100  1777250729634  1777250739735
read      241.8   100.5    93.8   152.4   165.3   231.8   263.0   279.8   292.2   307.0   325.0   354.0   422.5   762.6  4510.1  30076.5    30105  1777250741249  1777250751349
