#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      231.6    96.9    80.4   133.6   147.0   221.8   255.6   273.8   287.4   302.9   322.2   356.2   440.1   793.4  3497.4  29928.5    30000  1777996190573  1777996200716
read      234.2   101.1    80.4   136.3   149.6   223.4   255.9   273.8   287.3   302.8   323.7   362.6   469.2   961.4  3861.9  29954.2    30005  1777996202229  1777996212354
read      236.6    99.9    86.8   138.0   151.1   225.9   259.4   277.2   290.6   306.8   328.1   364.9   469.2   864.3  4119.6  30055.0    30010  1777996213868  1777996223972
read      235.3   103.9    80.4   135.3   148.3   223.7   257.4   276.0   290.1   306.6   328.3   366.4   470.0  1126.9  3941.6  30017.7    30015  1777996225484  1777996235587
read      235.1   109.2    86.8   137.7   149.9   221.4   255.1   274.3   288.9   306.1   329.0   367.7   469.4  1226.5  3830.3  29999.9    30020  1777996237101  1777996247204
read      245.3   115.0    86.8   139.0   152.2   229.5   266.3   287.4   302.9   321.3   348.1   393.1   501.6  1451.2  3715.8  29970.3    30025  1777996248718  1777996258817
read      236.7   119.3    86.8   137.6   149.8   221.7   255.5   274.8   289.8   307.4   330.7   369.6   478.2  1538.3  4286.9  30087.6    30030  1777996260329  1777996270427
read      236.8   116.4    86.8   137.6   150.1   221.7   255.9   275.9   291.0   308.8   332.0   370.9   479.3  1437.3  4209.7  30095.0    30035  1777996271940  1777996282038
read      228.9   104.6    86.8   132.3   144.3   215.6   249.8   269.2   283.3   299.6   320.7   358.4   461.9  1155.2  3545.8  30014.5    30040  1777996283553  1777996293651
read      241.9   120.3    86.8   138.6   151.7   226.6   262.4   282.9   297.5   316.1   340.9   380.2   480.6  1680.6  4307.6  30031.0    30045  1777996295163  1777996305266
read      233.1   100.6    86.8   138.2   150.4   221.0   254.3   273.1   287.1   303.3   324.3   359.4   450.1  1242.6  3229.5  30033.6    30050  1777996306779  1777996316878
read      236.3    96.8    86.8   135.9   148.9   226.0   260.3   278.9   292.5   309.0   330.0   365.2   459.9  1026.5  3377.8  30056.8    30055  1777996318390  1777996328491
read      230.1   148.2    86.8   134.9   147.0   215.5   248.5   267.1   280.5   296.3   317.1   350.4   454.3  1635.5  6280.1  30026.5    30060  1777996330003  1777996340104
read      227.1   114.5    86.8   131.6   143.7   211.9   244.1   263.1   276.5   293.5   315.6   353.4   478.2  1571.6  3486.7  30046.7    30065  1777996341618  1777996351724
read      231.5   122.5    80.4   131.2   143.7   216.8   249.7   268.6   282.5   298.5   320.8   361.1   488.7  1686.2  3935.7  30109.9    30070  1777996353237  1777996363339
read      233.9    98.1    86.8   139.0   151.8   222.5   254.5   272.5   286.0   301.3   321.2   357.5   462.6  1088.9  3410.8  30092.1    30075  1777996364852  1777996374950
read      233.8    95.3    86.8   134.0   148.2   224.6   256.9   274.5   288.1   303.6   323.5   359.3   455.2   872.6  3186.6  30043.7    30080  1777996376462  1777996386562
read      235.9   117.9    86.8   137.0   149.7   224.7   258.4   276.4   290.1   305.9   326.1   361.4   460.0  1341.5  3619.0  30027.9    30085  1777996388074  1777996398171
read      236.8   165.2    86.8   133.1   145.1   216.8   251.2   271.1   286.0   303.4   327.0   368.6   522.4  2435.9  6265.7  30230.3    30090  1777996399683  1777996409783
read      242.3   174.6    80.4   132.5   145.6   222.5   257.2   277.1   292.0   310.3   335.3   378.5   524.0  3277.1  5371.6  30043.9    30095  1777996411297  1777996421396
read      233.1   144.1    86.8   133.3   145.6   216.3   249.3   268.3   282.2   298.0   320.4   360.2   480.4  2346.8  4616.5  30145.4    30100  1777996422909  1777996433010
read      235.1   139.2    80.4   131.0   144.3   221.0   254.5   273.6   288.4   305.5   327.9   368.1   481.7  2258.3  5672.1  30101.3    30105  1777996434522  1777996444620
read      223.2    85.5    80.4   131.8   144.1   214.5   246.2   263.6   275.2   290.4   309.2   338.7   424.4   701.8  2875.3  30119.1    30110  1777996446134  1777996456252
