#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      271.3   113.1   101.3   165.0   179.4   254.5   290.8   312.4   329.0   349.5   378.1   427.9   548.4   959.4  4183.2  29943.9    30000  1777264523374  1777264533523
read      260.6   119.6   101.3   158.9   171.3   241.9   279.2   300.7   316.9   337.4   364.8   409.8   537.5  1435.0  4172.9  30067.4    30005  1777264535037  1777264545203
read      266.5   130.0   101.3   161.9   175.1   248.6   285.7   307.4   322.8   343.0   369.5   413.4   541.2  1591.5  5334.5  29990.3    30010  1777264546724  1777264556832
read      263.1   120.6    93.8   160.2   172.9   245.1   282.5   304.1   319.7   340.3   367.4   410.7   537.5  1342.5  4372.0  29934.9    30015  1777264558347  1777264568456
read      259.3   141.2    93.8   156.4   168.9   239.3   276.8   298.7   315.1   335.5   363.3   410.3   552.0  1380.3  4629.5  30039.5    30020  1777264569972  1777264580082
read      257.1   125.1   101.3   157.1   169.4   237.2   274.1   295.7   312.2   332.0   359.2   403.5   545.7  1306.0  5204.9  29966.5    30025  1777264581606  1777264591721
read      270.7   130.5   101.3   161.8   175.0   250.1   288.1   310.5   327.4   348.1   377.2   430.4   600.7  1812.5  4070.8  30019.8    30030  1777264593236  1777264603339
read      267.5   125.0   101.3   162.2   175.3   248.6   285.8   307.6   323.4   344.2   372.4   422.0   569.2  1350.1  4364.5  30013.5    30035  1777264604855  1777264614963
read      263.7   115.4   101.3   161.7   174.5   245.9   282.3   303.7   319.3   339.9   367.2   410.5   548.5  1193.6  4501.0  29992.7    30040  1777264616479  1777264626582
read      263.6   125.0    93.8   159.9   172.3   244.2   281.4   303.4   319.6   340.5   368.1   415.9   563.2  1438.8  5185.4  30039.1    30045  1777264628097  1777264638207
read      270.1   128.5   101.3   163.0   176.7   252.3   289.8   311.7   328.0   347.6   374.4   421.7   550.1  1381.2  4547.7  30007.2    30050  1777264639720  1777264649826
read      270.4   115.1   101.3   162.5   176.4   253.8   291.1   312.9   329.2   348.7   375.3   421.4   550.3  1335.6  3864.1  30128.0    30055  1777264651340  1777264661447
read      272.2   109.2    93.8   163.9   178.5   256.4   292.9   314.5   331.2   351.4   379.8   428.2   549.9   992.9  3629.9  30019.8    30060  1777264662961  1777264673074
read      283.7   271.1    93.8   153.6   166.1   235.0   271.4   293.1   310.2   332.3   367.0   471.3  1326.5  3477.7  6408.6  30131.4    30065  1777264674589  1777264684694
read      274.4   251.7    93.8   152.2   164.5   231.4   266.6   287.5   303.3   322.9   354.4   434.2  1167.8  3429.8  6347.8  30124.2    30070  1777264686208  1777264696325
read      302.3   309.2    93.8   154.1   166.8   238.0   277.9   304.0   325.1   358.0   425.6   635.9  1316.0  4461.1  6415.7  30076.0    30075  1777264697839  1777264707946
read      278.7   256.2    93.8   155.2   167.7   234.8   270.5   291.6   308.0   328.4   359.8   445.0  1168.6  3602.3  6267.0  30065.5    30080  1777264709460  1777264719566
read      268.8   237.5    93.8   151.8   163.7   228.0   262.4   282.8   297.6   317.9   347.0   428.6  1098.9  3230.0  6239.6  30125.5    30085  1777264721079  1777264731186
read      268.9   237.6    93.8   151.3   163.0   227.3   261.7   282.2   297.3   317.5   346.9   427.4  1164.1  3223.7  6165.9  29972.4    30090  1777264732700  1777264742805
read      283.8   255.4    93.8   155.9   168.9   239.6   275.5   296.8   313.8   335.4   367.7   459.1  1207.0  3479.3  6204.8  30168.0    30095  1777264744321  1777264754428
read      338.3   462.9    93.8   161.6   176.6   258.6   300.0   325.6   345.9   372.9   412.4   493.2  3188.3  6022.5  7360.2  30080.6    30100  1777264755942  1777264766045
read      265.2   117.7    93.8   161.7   175.2   247.9   284.5   306.2   321.6   342.0   369.2   414.2   534.9  1180.0  4323.3  30092.0    30105  1777264767560  1777264777665
read      263.2   105.8    93.8   162.1   176.4   248.9   283.2   303.1   317.7   336.7   362.2   403.3   510.0  1037.2  4061.3  30170.3    30110  1777264779180  1777264789288
