#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      229.1   108.1    80.4   132.0   145.5   219.2   251.5   269.5   282.4   296.8   317.1   349.2   442.1  1013.0  4094.1  29964.9    30000  1777996681930  1777996692060
read      235.9    89.9    80.4   138.3   151.3   224.0   256.9   275.6   290.6   308.4   331.7   369.6   464.3   836.6  2499.6  29969.8    30005  1777996693573  1777996703701
read      239.8   100.3    86.8   139.6   152.7   226.3   260.8   280.8   295.4   313.9   338.5   378.6   477.3   998.3  3114.7  29963.3    30010  1777996705213  1777996715315
read      246.5   112.5    86.8   142.5   156.0   230.5   266.0   286.7   302.0   320.4   346.4   390.2   503.0  1523.7  3666.7  30067.9    30015  1777996716828  1777996726933
read      229.3    90.0    86.8   135.4   147.4   217.0   249.7   268.7   282.9   299.6   321.4   360.3   459.4   816.7  2501.5  30059.3    30020  1777996728446  1777996738543
read      245.1   112.2    80.4   139.5   152.8   229.1   264.7   285.2   300.3   318.9   344.4   393.3   519.9  1450.3  3213.2  29981.1    30025  1777996740055  1777996750157
read      247.6   125.6    86.8   141.8   155.1   229.1   264.1   284.5   299.4   318.5   345.9   399.0   575.1  1687.3  4125.3  30021.7    30030  1777996751672  1777996761773
read      241.2   150.2    86.8   138.8   151.5   224.5   258.9   279.3   294.3   312.7   337.1   377.5   503.6  1612.1  7838.1  29995.5    30035  1777996763286  1777996773388
read      251.9   122.7    86.8   140.3   154.7   235.3   271.1   291.9   307.9   327.4   355.1   405.8   549.6  1686.9  4142.2  30049.3    30040  1777996774902  1777996784999
read      241.8   107.8    86.8   140.5   153.2   226.3   261.6   281.8   296.4   315.3   339.8   381.3   505.0  1361.0  3487.3  30013.1    30045  1777996786513  1777996796619
read      264.9   159.7    86.8   143.4   157.9   238.6   276.3   299.6   317.8   341.5   375.6   449.6   762.0  1894.4  4953.3  30014.2    30050  1777996798132  1777996808233
read      240.3   108.8    86.8   137.7   150.9   226.0   259.1   277.4   291.6   309.2   333.6   379.8   537.5  1344.1  3471.0  30076.2    30055  1777996809747  1777996819845
read      270.5   196.4    80.4   139.0   153.4   232.1   267.8   290.0   308.5   334.5   383.4   515.7  1050.6  2574.2  4306.5  30068.6    30060  1777996821359  1777996831461
read      245.6   159.4    86.8   133.7   147.0   224.1   259.2   279.4   294.5   313.8   341.4   398.3   660.9  2501.6  5362.2  30022.6    30065  1777996832976  1777996843078
read      247.0   160.2    86.8   133.7   147.0   224.5   259.8   280.2   295.7   316.0   344.8   405.0   682.2  2287.2  4968.9  30166.0    30070  1777996844592  1777996854696
read      242.7   158.6    86.8   132.3   145.1   221.7   256.5   276.2   291.6   310.3   336.1   387.5   623.8  2395.9  5074.2  30019.5    30075  1777996856209  1777996866310
read      236.2   103.5    86.8   136.9   150.5   223.7   256.3   274.6   288.8   305.4   327.4   367.1   488.8  1124.8  3314.0  30152.7    30080  1777996867825  1777996877928
read      236.9   112.4    86.8   138.3   151.0   224.5   257.6   275.4   289.4   305.6   326.8   365.8   488.1  1165.6  4037.5  30130.5    30085  1777996879443  1777996889548
read      227.4   110.3    80.4   131.7   144.7   215.4   246.4   264.1   276.7   293.2   314.9   353.7   474.8   999.5  3215.8  30023.9    30090  1777996891062  1777996901164
read      237.0    97.8    80.4   133.2   147.7   226.0   259.6   278.1   292.5   309.6   332.1   370.0   480.5   980.6  3221.5  30179.0    30095  1777996902679  1777996912785
read      236.4   104.6    80.4   135.4   149.3   224.0   256.9   274.9   289.1   305.8   328.3   368.6   495.8  1203.6  3486.9  30089.4    30100  1777996914297  1777996924403
