#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      247.2   116.8   101.3   152.4   165.4   233.8   266.2   284.2   296.8   313.3   334.9   370.8   496.8  1040.3  4376.5  30023.9    30000  1777267255173  1777267265341
read      260.9   167.7    93.8   155.9   169.0   237.1   271.5   291.9   307.2   325.2   350.0   396.2   622.6  2511.8  6174.6  29960.4    30005  1777267266857  1777267276985
read      266.6   177.4    93.8   157.9   171.6   244.1   279.2   299.7   315.2   334.1   359.3   402.6   608.6  2880.0  6105.2  30030.2    30010  1777267278500  1777267288609
read      255.4   206.1    93.8   149.9   161.9   226.4   259.4   279.2   294.6   313.7   339.5   386.9   717.7  3285.7  6201.0  30086.2    30015  1777267290125  1777267300231
read      268.7   226.4    93.8   155.6   169.3   240.2   274.0   294.3   309.9   329.0   356.8   410.5   688.8  3663.0  7735.9  30019.8    30020  1777267301745  1777267311857
read      261.9   205.1    93.8   151.4   164.3   234.0   269.5   290.1   305.6   323.8   349.8   398.0   662.3  3206.9  6189.6  29965.8    30025  1777267313374  1777267323477
read      268.7   220.2    93.8   155.5   169.1   240.5   275.4   296.1   312.0   331.1   357.9   406.4   700.4  3362.1  7444.8  29982.5    30030  1777267324992  1777267335097
read      271.3   193.3    86.8   156.1   170.8   247.6   283.7   304.7   319.7   339.7   366.9   417.5   641.6  3228.7  6277.8  30087.8    30035  1777267336611  1777267346713
read      271.7   265.3    93.8   156.1   168.8   235.1   269.3   290.1   305.9   324.9   353.5   412.9   867.8  3905.2  6947.4  30013.8    30040  1777267348228  1777267358329
read      257.3   245.2    93.8   154.7   166.9   229.5   261.6   280.7   295.0   313.1   337.5   382.1   616.3  3732.4 10388.6  30033.3    30045  1777267359846  1777267369950
read      249.6   185.2   101.3   151.5   163.2   225.3   257.0   275.3   290.2   307.9   331.5   373.1   589.9  3088.3  6202.6  30088.8    30050  1777267371463  1777267381564
read      263.8   227.4    93.8   156.5   169.2   235.1   268.9   288.8   303.6   321.0   345.7   392.3   672.6  3391.8  7305.1  30039.5    30055  1777267383078  1777267393178
read      278.6   323.3   101.3   156.5   169.3   239.3   274.3   295.3   311.8   332.1   361.4   425.0   794.8  6039.8  9845.9  30040.1    30060  1777267394692  1777267404795
read      274.7   207.0   101.3   158.7   172.2   243.8   279.3   300.5   316.6   337.4   366.6   428.8   848.6  3064.6  6268.5  30138.1    30065  1777267406311  1777267416416
read      269.4   214.3   101.3   160.8   173.2   238.4   272.0   292.3   308.0   326.8   354.0   406.1   835.4  3052.2  6272.0  29992.1    30070  1777267417931  1777267428068
read      255.2   199.3    93.8   151.9   163.8   224.2   255.7   275.0   290.7   309.7   337.1   399.2   784.3  3009.5  6321.5  30166.2    30075  1777267429585  1777267439687
read      252.2   140.6    93.8   152.6   165.1   230.6   263.6   282.8   296.7   314.9   340.0   393.5   660.8  1751.7  4742.6  30074.1    30080  1777267441228  1777267451340
read      245.0   114.0    93.8   151.6   164.0   228.8   260.9   279.4   293.1   310.0   332.2   370.3   537.6  1246.4  4263.7  30024.3    30085  1777267452855  1777267462964
read      238.8   111.6    93.8   146.7   158.9   222.1   253.6   271.9   286.0   302.4   324.3   365.3   548.4  1308.4  3359.8  30052.8    30090  1777267464480  1777267474581
read      246.9   124.1    93.8   148.0   160.5   226.7   259.6   278.8   293.4   311.5   336.8   388.4   639.4  1598.8  4037.1  30114.5    30095  1777267476097  1777267486198
read      254.2   110.6    86.8   152.7   166.7   241.0   274.4   293.9   308.3   324.5   346.3   385.4   508.6  1202.3  4178.3  30121.2    30100  1777267487713  1777267497821
read      245.0   107.4    86.8   149.0   161.9   229.5   262.8   281.9   295.8   313.4   336.6   374.6   523.3  1186.3  3409.4  30087.4    30105  1777267499336  1777267509447
read      235.9    96.1    86.8   145.8   158.4   222.6   253.3   271.3   284.8   300.0   320.4   357.0   484.6  1002.7  3170.0  30153.8    30110  1777267510962  1777267521067
read      243.9   106.6    93.8   148.9   161.8   229.7   262.8   281.3   295.1   312.1   334.2   370.9   501.3  1092.1  4003.7  30125.0    30115  1777267522583  1777267532686
read      235.8    97.8    86.8   144.9   157.3   222.4   253.8   272.0   285.7   301.2   321.3   357.6   476.1   962.7  3290.6  30063.6    30120  1777267534201  1777267544307
