#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      220.4    99.7    80.4   129.4   141.6   209.5   240.6   258.3   271.2   286.6   306.1   338.5   429.8   950.1  3230.8  30068.9    30000  1777991536136  1777991546275
read      231.6   122.8    80.4   135.1   148.3   220.2   252.1   269.8   282.7   297.4   318.7   354.2   451.7  1113.6  4756.6  29940.6    30005  1777991547787  1777991557912
read      221.7    81.8    86.8   135.3   147.1   211.2   241.6   259.1   271.2   286.3   305.6   337.2   427.6   704.0  2779.0  29964.3    30010  1777991559424  1777991569526
read      226.3    85.8    86.8   135.7   148.3   216.2   247.5   265.0   276.9   292.0   312.0   344.7   438.2   724.6  2637.2  29956.1    30015  1777991571037  1777991581138
read      228.4   111.2    86.8   136.0   148.1   214.8   246.3   264.5   277.3   293.9   315.8   352.6   459.2  1364.0  3824.2  30102.0    30020  1777991582650  1777991592757
read      229.1   104.9    86.8   134.1   146.3   215.0   247.4   266.2   279.8   296.6   319.5   361.1   466.8  1330.9  3356.8  30071.3    30025  1777991594269  1777991604373
read      242.6   124.2    86.8   139.4   152.3   226.2   261.0   280.8   295.3   314.3   340.2   386.3   504.9  1686.1  3833.1  29953.4    30030  1777991605886  1777991615989
read      238.3   108.3    86.8   137.9   150.5   223.3   257.7   277.4   292.5   311.2   336.0   376.6   489.0  1299.5  3325.5  30111.9    30035  1777991617502  1777991627606
read      242.5   112.6    86.8   139.0   152.0   227.6   263.2   283.1   297.5   316.4   341.5   384.2   493.1  1445.1  3765.6  30078.6    30040  1777991629119  1777991639220
read      227.7   101.8    86.8   135.8   147.9   213.8   245.1   263.6   276.5   293.6   316.6   356.1   461.6  1329.5  3283.8  30001.0    30045  1777991640733  1777991650835
read      225.3    96.7    86.8   137.1   148.1   211.9   243.2   261.5   274.3   290.9   312.6   347.7   445.9  1249.7  2991.4  30073.1    30050  1777991652348  1777991662454
read      224.2   108.8    86.8   135.5   147.1   211.7   242.0   259.5   272.0   287.5   307.7   341.4   437.8  1340.2  4146.9  29920.4    30055  1777991663966  1777991674071
read      222.0    99.1    86.8   131.5   143.7   211.3   242.2   259.9   272.3   287.5   306.7   338.5   427.4   954.9  3839.7  29995.0    30060  1777991675583  1777991685686
read      224.7    97.0    86.8   132.1   144.1   211.3   242.7   261.3   274.6   291.6   313.6   350.8   459.6  1262.2  2648.3  30184.9    30065  1777991687198  1777991697299
read      219.2   116.0    86.8   128.6   139.9   203.9   234.2   252.3   265.8   281.6   302.7   339.3   465.0  1588.8  3892.8  30150.2    30070  1777991698811  1777991708915
read      223.4   101.8    86.8   133.8   145.8   210.8   241.1   259.1   271.8   287.8   309.0   344.0   445.1  1174.6  3361.9  29977.7    30075  1777991710428  1777991720531
read      223.8    89.6    80.4   133.2   145.5   213.2   244.3   261.8   273.7   289.0   308.9   343.0   443.3   794.2  3061.2  30141.1    30080  1777991722044  1777991732147
read      223.0    99.9    86.8   132.0   144.3   211.5   242.0   259.7   272.2   287.8   308.0   342.1   445.4  1084.5  3729.3  30145.9    30085  1777991733659  1777991743763
read      218.6    85.6    80.4   131.2   142.4   207.6   238.4   256.3   269.3   284.9   305.0   338.3   430.3   631.4  3354.6  30053.2    30090  1777991745276  1777991755382
read      225.4   117.5    86.8   134.8   146.6   212.4   243.7   261.9   274.3   290.6   312.0   348.2   455.6   949.8  3773.6  29988.0    30095  1777991756896  1777991767001
read      226.8   121.2    86.8   132.5   144.5   214.2   246.5   264.6   277.1   293.2   314.7   351.8   463.1  1079.9  4536.0  30029.4    30100  1777991768516  1777991778620
read      220.1    85.0    80.4   132.1   144.2   209.1   238.6   255.7   268.4   283.3   302.9   337.5   443.8   869.9  3006.9  30055.1    30105  1777991780134  1777991790236
read      228.3   106.2    86.8   132.3   145.1   215.5   247.4   265.6   278.5   294.4   316.3   356.6   485.3  1039.6  3571.0  30138.0    30110  1777991791749  1777991801851
