#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      241.6   107.4    93.8   150.1   162.5   228.0   260.1   278.5   292.1   308.6   330.0   365.5   455.6  1292.2  4169.7  29988.6    30000  1778339154927  1778339165065
read      241.2   110.9    93.8   144.4   157.1   226.9   260.1   279.4   293.7   312.0   336.4   374.4   466.4  1403.1  3871.7  29966.7    30005  1778339166580  1778339176704
read      246.3   121.4   101.3   147.1   159.5   230.0   264.4   284.3   298.2   316.5   341.0   380.3   490.5  1719.4  4169.9  29982.5    30010  1778339178218  1778339188333
read      238.9   114.6    93.8   144.8   156.2   222.4   254.9   274.5   289.4   307.0   330.5   369.2   491.7  1474.3  4066.9  30108.4    30015  1778339189846  1778339199949
read      244.1   116.4    93.8   144.9   157.4   228.7   263.1   282.7   296.7   315.0   339.1   376.4   475.9  1715.6  3202.5  29983.3    30020  1778339201464  1778339211568
read      238.1   112.2    93.8   142.4   155.2   225.0   256.8   275.0   289.1   305.4   327.2   366.3   467.9  1297.4  3872.7  29935.3    30025  1778339213082  1778339223183
read      251.2   102.4    93.8   151.6   165.4   238.4   272.7   292.2   306.7   323.1   346.1   384.8   472.2  1002.1  3930.9  29999.9    30030  1778339224697  1778339234801
read      243.8   117.5    93.8   147.2   160.3   229.8   263.4   282.8   296.4   314.0   337.5   374.6   468.8  1204.0  3948.7  30076.1    30035  1778339236315  1778339246417
read      243.7   102.0    93.8   147.9   160.7   230.6   264.1   283.2   296.6   314.2   337.0   372.6   461.0  1250.2  3434.4  29960.5    30040  1778339247930  1778339258030
read      247.9   109.9    93.8   150.6   162.6   231.4   267.3   288.1   303.4   321.3   346.2   385.3   476.8  1462.1  3568.0  30064.3    30045  1778339259545  1778339269646
read      249.0   120.2    93.8   151.9   164.1   232.0   266.6   286.8   301.5   319.4   343.8   382.2   485.3  1573.1  4286.2  30071.1    30050  1778339271161  1778339281261
read      249.3   113.2   101.3   151.7   163.8   234.0   269.1   289.2   304.1   321.5   345.8   384.9   471.3  1349.2  4067.9  30135.4    30055  1778339282775  1778339292883
read      252.8   142.4   101.3   152.0   164.2   235.0   271.0   291.9   307.7   326.3   351.8   392.9   497.1  1491.7  6620.9  30072.5    30060  1778339294398  1778339304500
read      260.0   129.7   101.3   152.8   165.5   241.5   279.8   302.3   318.8   339.7   366.7   408.2   513.1  1803.9  4592.0  30126.2    30065  1778339306016  1778339316119
read      247.9   117.7    93.8   149.2   161.1   231.5   267.1   288.2   303.9   322.5   347.9   388.7   485.3  1264.7  4395.9  30074.9    30070  1778339317634  1778339327737
read      240.8   102.8   101.3   144.8   156.9   227.3   260.6   279.7   293.9   311.6   335.2   372.8   465.7  1226.2  3485.9  30093.3    30075  1778339329250  1778339339353
read      254.5   122.0    86.8   148.5   161.6   236.4   273.4   294.6   311.3   331.5   358.9   403.0   536.9  1501.6  4093.4  29994.7    30080  1778339340869  1778339350971
read      256.0   127.1   101.3   148.7   160.9   236.0   274.5   296.8   314.2   335.4   363.5   409.7   562.5  1707.6  4099.0  30075.6    30085  1778339352487  1778339362588
read      244.0   124.2    93.8   144.0   155.5   224.2   259.3   280.4   295.8   315.5   342.1   388.5   549.4  1796.1  3705.6  30074.5    30090  1778339364103  1778339374206
read      259.8   157.9    93.8   148.5   160.7   234.0   272.3   294.3   311.7   333.6   364.8   427.1   687.5  2335.0  4882.9  30182.2    30095  1778339375722  1778339385826
read      261.2   143.7    93.8   150.1   162.8   236.9   274.8   296.9   314.5   336.6   367.3   425.2   670.7  2075.5  4125.1  30193.7    30100  1778339387343  1778339397446
read      280.9   214.0    93.8   150.5   163.2   242.7   285.2   310.7   331.1   357.8   396.9   493.9   923.4  3361.7  6071.6  30093.2    30105  1778339398962  1778339409077
read      267.1   203.0    93.8   147.5   161.2   240.1   279.4   302.2   319.2   342.1   375.1   446.9   745.7  1965.0  5758.9  30018.8    30110  1778339410593  1778339420702
