#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      227.3    97.4    74.4   130.0   144.1   214.4   248.4   269.3   284.8   303.0   325.3   357.9   425.6   702.8  3420.7  29895.5    30000  1778370416169  1778370426321
read      225.2    97.8    80.4   132.5   146.6   212.4   242.7   262.1   276.2   294.1   316.4   348.7   425.1   952.8  3390.4  29939.9    30005  1778370427834  1778370437965
read      223.8    90.8    80.4   130.6   146.3   212.0   242.0   261.1   274.9   292.6   314.6   345.7   415.7   808.8  3102.9  30102.0    30010  1778370439478  1778370449577
read      228.6    92.0    80.4   136.6   151.8   217.7   247.7   266.1   279.6   296.0   317.1   346.9   415.5   686.9  3434.0  30097.4    30015  1778370451087  1778370461186
read      226.8   100.2    80.4   131.2   145.4   213.0   244.7   264.8   279.5   297.0   320.1   354.5   434.6  1136.2  3884.3  30105.3    30020  1778370462699  1778370472814
read      236.7   118.8    80.4   137.1   151.4   220.8   254.1   274.3   290.2   309.0   333.2   371.1   467.9  1344.0  4632.7  29978.7    30025  1778370474329  1778370484433
read      228.8   108.7    86.8   131.4   145.5   212.9   245.5   266.3   281.9   300.7   325.1   363.1   452.6  1370.6  3570.4  30002.5    30030  1778370485945  1778370496051
read      238.3   117.4    80.4   134.6   149.2   221.5   257.2   279.3   295.8   315.8   341.1   380.8   471.0  1307.3  4202.7  29976.1    30035  1778370497564  1778370507667
read      232.5   119.3    80.4   140.5   153.1   216.7   247.4   266.7   281.2   298.9   322.4   359.9   454.8  1489.5  4400.5  29927.7    30040  1778370509180  1778370519283
read      231.0    97.4    86.8   136.5   151.0   217.6   248.8   268.1   282.6   299.7   321.9   358.0   439.8  1107.5  3231.3  30041.8    30045  1778370520795  1778370530895
read      219.8   101.8    80.4   127.8   141.0   205.4   235.7   255.4   270.5   288.7   311.6   344.3   422.5  1167.8  3457.1  30041.3    30050  1778370532408  1778370542509
read      233.1    98.2    68.9   136.7   152.4   220.8   251.9   270.6   284.7   301.2   322.2   356.0   438.5  1170.5  3063.5  30156.5    30055  1778370544021  1778370554120
read      214.8    84.0    80.4   132.3   144.7   203.2   230.8   247.9   261.0   276.3   296.9   329.2   397.5   848.5  2718.8  30018.5    30060  1778370555633  1778370565732
read      223.8   129.9    80.4   127.5   142.1   207.7   237.6   256.8   271.4   289.3   311.9   345.4   435.7  2024.5  4911.2  30027.6    30065  1778370567243  1778370577344
read      237.2   143.1    80.4   132.5   147.5   218.0   252.7   273.7   289.7   308.4   332.1   368.8   502.3  2055.3  5444.6  30002.1    30070  1778370578857  1778370588965
read      227.5   107.8    80.4   131.1   145.9   213.9   246.3   266.1   280.4   297.2   319.0   351.3   427.0  1274.5  3489.5  30124.6    30075  1778370590477  1778370600579
read      229.0   101.9    86.8   138.8   151.9   215.6   246.1   265.4   279.5   296.7   319.1   352.8   430.7   902.3  3934.2  30101.7    30080  1778370602092  1778370612193
read      233.5    98.8    74.4   135.7   151.0   221.2   253.9   273.6   288.9   306.6   328.2   360.9   429.2   904.8  3672.1  30051.5    30085  1778370613708  1778370623812
read      228.8   107.6    80.4   133.8   148.7   215.4   246.7   266.2   280.5   297.4   319.4   352.5   429.4  1369.6  3965.8  30019.5    30090  1778370625326  1778370635429
read      242.6   164.8    80.4   137.3   151.3   221.3   255.0   275.7   292.2   311.8   337.1   378.3   518.3  2825.4  5535.1  30197.1    30095  1778370636943  1778370647045
read      248.2   181.2    80.4   138.9   153.7   225.1   260.1   281.3   297.0   316.8   342.7   387.2   552.5  3172.9  6200.2  30084.5    30100  1778370648557  1778370658672
read      228.9   147.2    80.4   129.7   143.3   208.2   238.8   258.9   273.8   292.8   317.0   355.8   506.9  2312.9  4977.3  30193.7    30105  1778370660185  1778370670289
read      231.6   142.4    80.4   134.2   148.4   213.3   244.0   263.6   277.9   295.5   318.2   353.7   461.9  2176.8  4951.3  30147.5    30110  1778370671803  1778370681907
read      214.7    92.7    74.4   129.2   142.6   202.8   231.1   248.7   262.1   277.6   298.7   330.4   393.0   842.9  3231.5  30052.5    30115  1778370683419  1778370693535
