#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      264.4   115.2   101.3   164.5   178.9   251.5   284.3   303.2   317.0   334.8   358.6   398.4   500.6  1026.2  4551.6  29930.6    30000  1777246688770  1777246698931
read      260.7   110.7    93.8   161.3   174.6   246.6   280.5   300.1   315.2   333.5   357.7   397.3   493.3  1206.8  4069.7  30044.2    30005  1777246700444  1777246710571
read      267.6   114.2   101.3   162.5   176.4   252.8   288.9   309.6   324.4   343.2   369.0   408.5   512.9  1394.7  4098.5  29925.0    30010  1777246712083  1777246722190
read      262.4    98.7   101.3   161.7   175.1   248.8   284.1   304.2   318.6   337.6   362.8   401.9   501.1   999.2  3229.0  30093.7    30015  1777246723702  1777246733807
read      267.0   107.7   101.3   162.7   176.8   253.4   289.1   309.8   324.7   343.4   368.9   407.2   503.1  1101.1  3695.5  30067.4    30020  1777246735320  1777246745422
read      254.8   111.6    93.8   156.7   169.6   239.5   273.7   293.8   309.2   327.5   352.4   394.4   493.7  1077.7  4232.7  30021.4    30025  1777246746935  1777246757038
read      264.2   112.9    93.8   160.6   174.1   248.9   284.7   305.5   320.1   339.7   365.9   408.1   515.4  1348.7  4100.7  30017.1    30030  1777246758549  1777246768651
read      254.0   102.6   101.3   157.7   170.2   239.4   273.9   293.9   308.8   326.0   349.1   388.9   482.7  1056.9  3994.1  30027.3    30035  1777246770164  1777246780266
read      269.4   127.8    93.8   162.1   176.5   253.4   289.5   310.5   325.8   344.6   371.4   414.6   527.4  1608.8  5413.9  30057.4    30040  1777246781778  1777246791880
read      260.3   108.8   101.3   159.8   172.6   245.4   281.3   301.8   316.7   335.5   360.6   400.0   500.8  1187.1  3838.4  30051.5    30045  1777246793394  1777246803497
read      253.7   104.3    93.8   157.4   169.9   239.3   273.9   294.0   308.9   326.2   348.8   387.6   475.7  1058.3  4174.0  30082.0    30050  1777246805010  1777246815114
read      269.4   110.8    93.8   164.0   178.6   255.4   291.1   311.7   326.8   345.2   371.5   413.8   509.5  1128.9  3954.0  30169.7    30055  1777246816627  1777246826730
read      307.0   276.0    93.8   165.2   180.9   264.2   303.5   327.7   346.2   372.9   413.7   498.6  1123.1  4207.8  6352.7  30089.6    30060  1777246828245  1777246838348
read      270.6   236.9    93.8   149.9   162.1   231.1   266.4   287.0   302.7   322.0   353.3   434.2  1124.2  3330.5  6191.4  30050.7    30065  1777246839861  1777246849962
