#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      243.1   118.3    93.8   143.7   156.7   228.2   262.3   281.9   295.6   314.0   338.8   381.2   492.6  1206.2  4364.7  30101.2    30000  1778337785736  1778337795883
read      246.9   111.9    93.8   147.6   160.7   232.3   266.5   286.3   300.3   317.8   342.2   382.9   490.2  1469.8  3872.2  29983.7    30005  1778337797404  1778337807557
read      250.2   125.2    93.8   149.4   161.9   232.4   267.4   287.7   302.5   320.6   346.0   390.4   526.6  1583.0  4072.6  29969.8    30010  1778337809072  1778337819172
read      258.3   139.5    93.8   147.0   160.4   239.6   277.7   299.0   315.9   336.8   364.4   409.4   567.3  1694.8  5894.6  29991.6    30015  1778337820688  1778337830792
read      254.2   149.8    93.8   146.3   159.6   235.2   270.9   291.2   306.6   325.4   352.2   398.5   557.7  2044.6  5045.2  29985.5    30020  1778337832310  1778337842415
read      252.6   107.3    93.8   152.7   166.3   237.8   272.9   292.9   307.8   325.3   349.4   390.2   490.9  1043.8  3904.5  29985.8    30025  1778337843931  1778337854034
read      245.4   108.3   101.3   150.7   163.2   231.2   264.8   284.0   297.2   315.0   338.6   377.7   485.1   884.1  3895.2  30093.9    30030  1778337855552  1778337865655
read      255.0   119.2    93.8   150.6   165.1   240.5   275.2   294.7   309.9   328.1   352.8   394.9   505.0  1462.1  4119.1  30105.7    30035  1778337867171  1778337877271
read      242.0   123.1    93.8   146.0   159.0   228.8   261.6   280.8   294.3   311.6   334.6   371.9   465.9   894.4  4121.2  30022.0    30040  1778337878786  1778337888892
read      245.9   114.8   101.3   150.4   162.2   229.3   263.5   283.6   297.4   316.4   341.6   382.4   491.3  1343.0  3492.7  29978.5    30045  1778337890408  1778337900511
read      244.2   109.3   101.3   149.8   161.2   227.7   261.9   282.0   295.9   314.5   339.0   377.7   488.9  1514.8  3482.6  30062.8    30050  1778337902025  1778337912129
read      243.1   108.2   101.3   148.8   160.1   226.8   260.1   280.2   294.5   313.2   338.2   378.1   494.7  1454.8  3423.7  30037.0    30055  1778337913645  1778337923746
read      241.5   114.2   101.3   147.4   158.5   224.5   258.6   279.2   294.0   312.5   336.7   374.3   482.4  1436.2  4213.9  30068.6    30060  1778337925260  1778337935360
read      253.7   117.3    93.8   152.0   164.6   236.6   273.1   293.9   310.1   329.7   356.2   397.7   500.3  1297.6  4384.2  30121.3    30065  1778337936875  1778337946978
read      254.4   135.0    93.8   150.9   163.7   236.4   272.5   293.3   309.4   329.0   355.2   396.7   504.9  1980.4  4719.7  30083.5    30070  1778337948493  1778337958593
read      249.7   115.2    86.8   147.0   161.1   234.8   269.8   289.8   304.7   322.5   347.3   389.7   497.1  1269.9  4571.5  30019.1    30075  1778337960108  1778337970222
read      246.7   119.9    93.8   147.8   159.4   229.2   264.4   285.1   300.0   318.8   344.1   385.9   506.8  1683.1  4232.7  30053.1    30080  1778337971737  1778337981838
read      249.5   127.0    93.8   147.1   159.2   231.2   267.1   288.1   303.5   322.2   348.2   391.7   518.3  1926.8  4259.5  30116.5    30085  1778337983353  1778337993457
read      249.1   132.4    93.8   146.0   158.1   230.2   265.8   286.5   301.7   320.7   347.3   393.7   538.2  1789.5  4855.6  30076.5    30090  1778337994971  1778338005076
read      241.8   148.2   101.3   143.8   154.9   223.1   257.6   278.2   293.2   311.7   336.7   378.4   529.8  1730.3  7050.4  30091.2    30095  1778338006591  1778338016695
read      253.6   141.1    93.8   149.8   162.2   233.6   269.3   289.9   305.2   323.9   350.6   396.3   550.0  2020.3  4745.1  30068.7    30100  1778338018211  1778338028316
read      241.8   116.9   101.3   146.7   159.3   228.1   260.3   278.8   292.4   309.1   331.3   369.4   477.4  1258.1  5189.9  30184.2    30105  1778338029834  1778338039938
read      249.5   106.3    93.8   149.3   162.7   235.8   270.2   289.7   303.9   320.6   344.8   386.4   493.0  1046.6  4110.5  30088.2    30110  1778338041451  1778338051552
