#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      231.1   121.6    86.8   141.6   153.9   218.5   249.4   267.1   279.6   294.8   315.2   345.9   432.2  1057.6  4857.4  29860.3    30000  1777270495642  1777270506020
read      241.1   109.5    93.8   147.6   160.8   229.4   261.4   279.4   292.6   308.8   329.5   363.3   451.9   925.3  3713.6  30018.4    30005  1777270507533  1777270517762
read      232.7    93.4    80.4   142.6   155.3   222.4   253.2   270.8   283.6   297.7   317.4   347.5   429.4   769.7  3199.8  29947.1    30010  1777270519275  1777270529460
read      234.0   111.4    86.8   142.2   154.8   222.0   253.5   271.4   284.7   299.8   319.8   353.7   441.1  1079.1  4153.0  30003.0    30015  1777270530972  1777270541153
read      231.8   122.4    80.4   140.0   152.3   218.7   250.4   268.8   282.3   297.8   318.9   354.2   443.9  1007.9  4573.4  29996.4    30020  1777270542666  1777270552869
read      246.5   147.7    93.8   150.5   163.3   231.8   265.0   283.9   297.3   314.6   336.7   371.2   467.8  1336.4  8117.6  30107.3    30025  1777270554382  1777270564566
read      236.5   113.6    93.8   142.8   155.0   222.2   255.0   274.0   288.6   305.6   327.7   363.1   456.0  1375.1  4067.3  30043.3    30030  1777270566079  1777270576285
read      243.5   143.9    93.8   145.3   158.1   227.8   261.7   280.8   294.5   312.2   335.2   371.5   498.6  1511.9  6254.8  30017.3    30035  1777270577797  1777270587982
read      246.2   140.8    93.8   149.4   162.3   230.6   263.4   282.3   295.9   313.4   336.1   373.3   506.8  1365.0  6120.0  29989.0    30040  1777270589494  1777270599701
read      241.4   132.2    86.8   149.9   161.8   225.4   257.2   275.5   290.2   307.5   330.2   367.3   482.0  1384.6  4656.1  30058.2    30045  1777270601213  1777270611404
read      256.4   137.1    93.8   156.5   170.5   241.9   274.6   293.6   307.9   324.3   346.4   385.5   502.4  1337.0  4985.9  30014.5    30050  1777270612916  1777270623122
read      248.0   172.3    86.8   149.7   162.6   231.2   264.6   283.6   296.9   314.5   337.1   372.8   503.8  1654.6 10400.2  30026.4    30055  1777270624635  1777270634820
read      256.0   154.2    93.8   151.5   164.4   234.6   270.0   290.3   305.6   323.9   349.8   398.2   623.4  1944.4  5978.8  30049.8    30060  1777270636332  1777270646514
read      253.6   171.3    93.8   151.2   164.0   232.6   266.5   286.4   301.0   319.1   344.1   389.7   588.6  2211.4  6216.6  30022.0    30065  1777270648026  1777270658239
read      248.1   185.7    93.8   149.3   161.6   229.5   263.4   282.9   296.8   314.9   338.5   376.5   524.1  1707.2 10143.0  30158.4    30070  1777270659752  1777270669974
read      246.8   205.1    86.8   150.2   162.3   226.8   259.4   278.0   292.4   310.2   334.1   374.0   549.3  1711.5 11457.4  30097.3    30075  1777270671489  1777270681782
read      267.2   206.4    93.8   156.1   169.7   244.0   279.4   300.2   315.8   335.5   363.0   416.0   685.8  1890.0 10768.7  30053.4    30080  1777270683299  1777270693550
read      248.6   123.9    93.8   153.7   166.6   233.5   266.2   284.6   297.4   314.6   336.9   373.7   515.9  1271.1  3774.8  29952.2    30085  1777270695064  1777270705276
read      263.6   251.2    93.8   154.6   167.4   234.2   267.8   287.5   302.1   320.0   344.9   391.4   691.8  3369.4 12137.5  30100.2    30090  1777270706788  1777270717012
read      265.5   291.8    93.8   155.0   167.5   232.7   266.1   285.9   300.6   318.9   344.0   392.6   729.9  3714.0 12341.6  30204.8    30095  1777270718524  1777270728704
read      288.3   325.3    93.8   158.6   172.6   248.5   285.6   307.6   323.6   344.2   373.2   432.9  1234.4  3936.7 12572.8  30039.6    30100  1777270730215  1777270740408
read      251.4   129.6    86.8   154.3   167.4   236.3   269.8   288.7   302.3   318.4   340.5   375.7   503.0  1565.4  4221.2  30162.7    30105  1777270741920  1777270752083
read      245.1   138.1    93.8   152.4   165.3   231.2   263.2   281.0   293.8   309.7   329.8   363.0   463.6  1413.6  6185.6  30030.2    30110  1777270753595  1777270763792
