#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      231.4   104.7    86.8   137.4   149.8   220.6   253.2   271.3   284.7   299.8   319.7   353.1   442.2   923.1  4284.3  29942.8    30000  1777995779840  1777995790025
read      232.0   101.4    86.8   137.2   149.4   219.7   252.1   270.7   284.6   300.9   323.3   364.0   464.2   917.8  3605.0  29954.0    30005  1777995791539  1777995801673
read      220.1    86.8    80.4   128.1   140.2   211.0   243.0   260.2   272.4   287.6   306.9   338.7   424.8   659.3  3151.7  30057.4    30010  1777995803187  1777995813299
read      225.4    86.1    86.8   134.3   147.1   215.1   246.9   264.8   277.3   292.9   312.9   343.8   429.2   772.4  3063.0  30066.2    30015  1777995814816  1777995824919
read      226.7   102.0    86.8   135.4   147.4   214.0   246.1   264.6   277.8   294.0   315.3   348.4   434.3  1279.8  4087.9  29997.9    30020  1777995826432  1777995836541
read      231.1   113.0    93.8   134.7   146.7   216.0   249.9   269.3   283.7   300.6   323.1   363.0   467.6  1437.4  3825.6  30078.0    30025  1777995838055  1777995848160
read      231.0   104.1    86.8   137.1   149.1   216.8   249.0   268.1   282.2   298.7   321.4   363.4   466.6  1242.5  3317.4  30022.0    30030  1777995849673  1777995859779
read      238.7   103.7    93.8   138.9   151.5   224.7   259.4   279.2   294.0   312.1   336.2   375.4   476.8  1222.5  3178.8  29898.9    30035  1777995861292  1777995871395
read      233.8   114.8    86.8   136.5   148.6   218.7   252.5   272.2   287.1   304.6   328.6   368.3   469.9  1587.1  4187.4  30022.6    30040  1777995872909  1777995883011
read      231.9   120.8    86.8   135.6   147.4   216.6   250.2   269.7   284.2   301.2   323.4   363.9   467.2  1665.6  4194.5  30096.9    30045  1777995884524  1777995894628
read      235.9   117.5    86.8   138.4   150.2   220.5   253.9   273.5   288.6   306.7   331.0   373.3   482.1  1503.3  3489.8  30034.3    30050  1777995896141  1777995906243
read      226.4   107.0    80.4   131.2   144.1   214.4   246.0   264.3   277.3   293.6   315.2   351.4   453.7  1234.4  4066.2  30089.3    30055  1777995907757  1777995917864
read      221.0    92.7    86.8   130.4   142.4   208.8   240.7   259.0   272.1   288.4   309.1   342.8   437.8   987.7  3155.6  30159.6    30060  1777995919380  1777995929484
read      230.0   117.5    80.4   131.5   143.6   214.4   248.3   267.8   282.2   299.0   322.3   365.5   487.2  1517.5  4153.1  29999.8    30065  1777995930998  1777995941113
read      227.1   110.4    86.8   132.6   144.2   212.8   245.1   263.9   277.1   293.7   315.8   353.5   465.4  1512.3  3204.4  30042.4    30070  1777995942628  1777995952735
read      228.5    95.1    80.4   134.3   147.4   217.6   249.8   268.0   280.9   295.8   316.4   349.9   444.6   952.7  3205.5  30115.7    30075  1777995954250  1777995964351
read      224.7    99.0    80.4   131.2   143.7   214.9   246.7   264.5   276.8   292.5   312.6   344.2   433.9   742.5  3653.0  30094.6    30080  1777995965863  1777995975983
read      224.1    87.9    80.4   132.7   145.1   214.4   245.5   263.0   274.9   290.3   310.3   342.6   433.6   722.3  3037.9  30115.7    30085  1777995977497  1777995987608
read      227.1    91.0    80.4   136.1   148.4   216.7   247.7   265.6   278.5   294.1   314.3   345.9   434.9   786.3  3385.8  30028.8    30090  1777995989123  1777995999227
read      228.4    93.4    86.8   132.3   145.4   219.2   251.6   269.3   282.1   296.4   316.5   348.0   436.8   943.1  3324.8  30208.2    30095  1777996000741  1777996010853
