#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      263.5   122.6    93.8   160.3   174.6   248.1   282.3   302.3   317.0   336.8   363.7   407.8   526.4  1177.3  5209.6  30018.3    30000  1777264172252  1777264182449
read      262.2   106.9   101.3   160.3   173.3   246.4   282.4   303.5   319.0   339.3   366.1   409.6   523.8   910.0  4050.7  29968.6    30005  1777264183964  1777264194090
read      267.2   119.4   101.3   162.1   175.6   250.6   287.1   308.6   324.3   344.3   370.6   414.6   541.5  1303.6  4281.0  30073.4    30010  1777264195604  1777264205707
read      269.8   147.6   101.3   160.0   173.6   247.6   285.3   308.0   324.5   345.7   374.8   428.8   638.6  1569.0  6088.4  30016.3    30015  1777264207222  1777264217327
read      262.6   104.6   101.3   159.2   172.3   245.9   283.0   304.7   320.2   341.1   368.4   412.5   537.6  1033.3  3537.3  29998.8    30020  1777264218841  1777264228947
read      262.4   123.2   101.3   161.1   173.9   244.2   280.5   302.0   318.1   338.5   365.5   408.2   531.9  1396.8  4974.3  30108.7    30025  1777264230462  1777264240565
read      278.1   133.8   101.3   163.4   177.8   258.1   297.2   320.6   339.2   362.0   392.4   445.8   606.1  1362.1  5337.1  29957.2    30030  1777264242079  1777264252181
read      262.1   124.2   101.3   159.0   172.1   244.1   281.1   303.0   318.9   339.6   366.8   410.4   539.0  1224.5  4483.3  30066.9    30035  1777264253696  1777264263800
read      247.1   108.0   101.3   153.5   164.8   227.9   263.9   285.1   300.6   319.1   344.7   389.8   525.1  1197.2  3767.7  30016.4    30040  1777264265319  1777264275428
read      258.1   118.1   101.3   156.9   168.8   236.7   274.2   296.2   313.2   334.0   362.7   413.3   584.1  1288.2  4287.5  30023.6    30045  1777264276943  1777264287045
read      264.8   121.2   101.3   161.0   173.5   243.6   280.4   302.3   318.7   340.2   369.3   422.8   604.4  1554.9  3688.9  30033.4    30050  1777264288563  1777264298674
read      275.8   126.9   101.3   163.7   177.5   255.6   294.2   317.0   335.2   357.5   388.1   441.7   614.9  1367.4  4326.7  30168.6    30055  1777264300191  1777264310297
read      278.2   136.0   101.3   164.5   178.7   256.3   294.2   316.9   335.2   358.1   390.2   450.1   643.2  1629.8  4453.1  30049.7    30060  1777264311811  1777264321920
read      309.0   270.6   101.3   161.7   175.1   251.6   293.4   320.3   344.6   381.6   453.9   629.3  1188.7  4062.7  6258.9  30123.1    30065  1777264323437  1777264333539
read      285.3   254.7    93.8   156.2   168.8   239.0   275.8   298.0   315.7   339.2   375.8   497.2  1174.4  3537.9  6289.8  30056.3    30070  1777264335058  1777264345167
read      274.5   250.8    93.8   152.0   164.0   230.1   265.5   286.8   303.1   323.9   359.2   462.3  1154.4  3330.4  6349.1  30068.7    30075  1777264346680  1777264356781
read      263.4   242.5    93.8   149.8   161.0   221.9   254.8   274.7   290.6   310.1   338.9   416.0  1129.2  3241.4  6361.4  30047.5    30080  1777264358296  1777264368410
read      273.2   245.5    93.8   150.6   162.8   230.9   266.9   288.1   304.5   325.1   358.4   447.2  1132.9  3429.4  6307.1  30197.1    30085  1777264369924  1777264380026
read      276.7   255.9    93.8   153.0   165.3   232.4   268.2   289.3   305.5   326.0   358.5   442.9  1199.4  3549.3  6257.8  30095.2    30090  1777264381542  1777264391647
read      270.8   245.3    93.8   150.4   162.3   229.1   264.5   285.6   301.4   320.7   352.5   431.1  1119.6  3448.5  6245.1  30182.0    30095  1777264393162  1777264403263
read      499.1   821.2    93.8   163.6   179.8   283.5   346.1   392.0   431.1   487.3   596.1  2016.2  4342.6  6339.6  8115.2  30230.0    30100  1777264404778  1777264414884
read      275.5   119.5   101.3   163.6   178.1   256.2   293.6   315.8   333.7   356.1   387.2   443.1   608.2  1183.9  4070.3  30043.5    30105  1777264416398  1777264426510
read      382.8   280.9    93.8   174.6   191.5   295.7   365.3   426.6   493.4   581.4   682.1   909.1  1323.0  3114.6  5658.3  30121.9    30110  1777264428024  1777264438129
read      271.5   106.5   101.3   163.9   178.6   254.9   291.4   313.0   329.7   350.7   380.7   430.7   548.4   925.1  3348.6  30099.2    30115  1777264439643  1777264449749
