#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      348.4   333.2    93.8   166.1   182.2   269.1   316.4   349.5   380.3   428.1   519.7   725.6  2224.8  3413.8  5512.3  29923.9    30000  1777256699579  1777256709739
read      350.6   450.0    93.8   163.3   177.5   258.9   304.4   335.2   361.3   397.9   471.5   709.8  2507.5  4745.4  8428.8  29993.8    30005  1777256711255  1777256721384
read      272.4   123.3   101.3   164.3   178.2   254.5   292.5   314.4   331.0   350.9   378.2   424.6   559.2  1425.7  4327.2  29955.3    30010  1777256722900  1777256733003
read      275.1   114.4    93.8   166.2   180.7   259.1   296.1   317.4   334.2   354.4   381.4   426.0   549.7  1345.9  3466.8  30017.7    30015  1777256734517  1777256744619
read      267.7   118.5   101.3   163.6   177.3   252.4   289.2   310.4   325.7   344.7   370.7   412.3   518.3   985.9  5005.3  29976.8    30020  1777256746133  1777256756235
read      261.7   106.7    93.8   161.4   174.3   245.8   282.5   303.5   318.8   338.6   364.4   403.0   508.5  1090.0  3436.5  29888.8    30025  1777256757750  1777256767856
read      262.2   108.3    86.8   161.6   175.1   247.4   282.5   302.9   317.7   337.3   362.7   401.7   505.3  1018.0  3495.1  29937.3    30030  1777256769370  1777256779475
read      269.5   128.8   101.3   162.9   176.5   251.5   289.0   310.9   327.0   346.6   374.0   420.5   550.5  1432.7  4514.5  30000.5    30035  1777256780990  1777256791091
read      256.7   109.9   101.3   159.9   172.1   238.8   274.0   295.2   311.0   330.0   356.0   397.6   522.8  1200.1  3627.1  30023.5    30040  1777256792606  1777256802708
read      256.3   101.3   101.3   160.9   173.4   241.0   275.6   295.9   311.4   329.7   353.8   392.7   489.3   957.2  3532.5  29953.8    30045  1777256804222  1777256814324
read      259.9   106.4   101.3   160.0   173.2   244.8   280.0   300.3   315.6   334.8   360.3   399.7   505.3  1106.4  3867.3  30095.2    30050  1777256815838  1777256825940
read      258.8   110.1    93.8   158.7   172.2   243.0   278.4   298.7   314.5   333.7   359.3   400.5   510.9  1015.9  3767.9  30084.8    30055  1777256827454  1777256837553
read      271.2   193.9   101.3   157.2   169.8   237.3   272.4   293.2   309.3   329.7   361.4   434.3  1000.3  2914.3  6012.9  30031.0    30060  1777256839068  1777256849170
read      278.8   252.0   101.3   152.9   165.4   233.6   269.8   291.5   308.5   330.4   365.6   471.1  1166.2  3498.6  6188.3  30084.7    30065  1777256850685  1777256860791
read      278.0   247.5    93.8   154.8   167.5   233.8   268.8   289.9   306.2   326.9   361.3   465.3  1154.2  3398.9  6197.2  30126.2    30070  1777256862306  1777256872413
