#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      241.6   105.0    93.8   144.4   156.9   228.0   261.4   279.9   294.2   312.5   336.9   375.9   476.0  1058.0  3886.5  29909.5    30000  1778333631094  1778333641225
read      241.2   118.3    93.8   144.2   156.7   225.8   259.0   277.2   292.1   310.4   335.2   376.3   495.0  1345.0  4734.7  30082.2    30005  1778333642741  1778333652864
read      241.1    97.7    93.8   144.8   157.1   227.1   261.2   280.3   294.8   313.3   337.5   375.4   482.2   935.5  3112.3  30006.0    30010  1778333654378  1778333664480
read      250.1   108.0    93.8   144.7   158.4   234.9   270.9   291.6   307.6   326.8   352.6   395.3   511.2  1447.8  3062.5  30044.7    30015  1778333665994  1778333676098
read      233.8   104.5    93.8   142.6   153.5   218.7   251.0   269.8   284.3   301.8   325.0   364.7   474.3  1247.5  3893.3  30138.3    30020  1778333677612  1778333687716
read      252.5   113.2   101.3   150.7   163.1   236.4   273.0   294.4   310.9   330.3   355.0   393.6   493.0  1411.6  3739.6  29981.0    30025  1778333689231  1778333699331
read      249.8   130.8   101.3   150.1   162.1   231.0   266.0   286.4   301.8   320.9   346.5   390.7   532.4  1877.5  5059.4  30017.6    30030  1778333700846  1778333710945
read      253.8   120.1   101.3   150.8   163.0   234.6   271.1   292.9   309.8   330.0   356.7   399.5   546.9  1604.2  3429.7  30012.3    30035  1778333712462  1778333722566
read      252.6   123.6   101.3   149.9   162.1   234.1   269.7   291.4   308.4   328.7   355.6   398.1   530.5  1701.0  4140.8  30089.0    30040  1778333724081  1778333734183
read      250.5   124.0   101.3   149.6   161.3   231.1   267.2   288.5   304.8   324.6   351.0   395.4   557.2  1682.4  4585.8  29928.5    30045  1778333735700  1778333745801
read      240.7   104.6    93.8   145.2   157.5   225.2   258.4   277.0   291.8   309.8   334.3   375.1   501.8  1309.7  3750.9  30137.1    30050  1778333747316  1778333757419
read      246.5   116.7    93.8   144.1   156.9   231.1   266.8   287.3   302.6   321.1   346.4   389.2   501.0  1178.6  4614.5  30147.6    30055  1778333758936  1778333769044
read      238.3   123.2    93.8   142.0   152.8   217.0   250.0   269.8   285.6   305.8   334.4   389.3   615.7  1390.4  4669.2  30136.4    30060  1778333770560  1778333780665
read      243.3   137.3   101.3   143.7   154.8   220.7   254.4   274.4   290.9   311.2   339.0   391.7   618.0  1900.9  4325.5  30072.3    30065  1778333782181  1778333792281
read      238.5   119.0    93.8   142.2   154.0   220.8   253.0   272.2   287.2   305.6   330.8   374.9   555.6  1506.0  4155.9  30084.5    30070  1778333793799  1778333803906
read      231.9   103.5    93.8   138.1   150.1   218.8   251.4   270.0   283.9   300.3   322.5   362.5   468.8   982.3  3524.7  30027.3    30075  1778333805424  1778333815523
read      235.4    92.5    93.8   142.0   154.4   222.6   254.7   273.1   287.5   304.6   327.1   364.8   463.4   952.0  3044.1  29996.0    30080  1778333817036  1778333827134
read      244.4   107.6    93.8   145.7   158.8   228.8   262.8   282.1   296.5   315.3   340.6   385.0   517.1  1036.0  4217.8  30061.8    30085  1778333828649  1778333838748
read      241.5   103.7    93.8   144.0   156.5   227.0   260.6   279.6   294.3   312.5   336.3   376.8   501.4  1026.6  3938.4  30091.4    30090  1778333840263  1778333850366
read      243.3   114.0    93.8   146.2   158.5   226.6   260.4   279.3   293.5   311.6   335.9   379.2   540.4  1300.0  4276.5  30020.1    30095  1778333851881  1778333861983
read      238.2   103.9    93.8   142.9   155.1   224.1   257.0   275.0   289.7   307.0   330.3   369.9   486.2  1154.6  3718.8  30100.1    30100  1778333863499  1778333873600
read      241.8   101.9    93.8   145.5   158.1   228.6   261.7   280.4   294.4   312.5   336.2   373.8   472.7   925.2  3487.2  30068.7    30105  1778333875115  1778333885218
