#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      225.6    98.8    80.4   129.7   142.7   216.6   248.2   265.7   277.9   293.1   312.9   343.6   437.9   871.3  3916.8  30079.8    30000  1778000086451  1778000096595
read      232.5    97.9    86.8   138.8   151.5   220.8   252.0   269.8   282.9   297.4   318.4   355.2   473.1   984.4  3632.0  29953.5    30005  1778000098108  1778000108238
read      226.6    89.0    86.8   134.5   146.7   216.9   248.4   266.1   278.4   293.6   314.0   345.4   440.4   751.4  2719.5  30005.7    30010  1778000109752  1778000119854
read      233.2   117.6    80.4   133.3   146.4   221.6   253.9   271.9   285.4   300.9   320.5   358.2   472.2  1320.1  4571.3  30033.6    30015  1778000121367  1778000131469
read      248.9   116.4    86.8   138.5   152.0   232.7   269.5   290.6   306.6   325.8   354.1   402.5   546.1  1419.1  3770.5  29984.3    30020  1778000132982  1778000143087
read      231.7   104.5    86.8   136.1   148.1   217.7   250.8   270.0   284.3   300.9   322.5   361.6   471.4  1379.0  3358.4  30023.9    30025  1778000144602  1778000154711
read      235.9   110.9    86.8   137.1   149.4   221.4   255.4   275.2   290.3   308.0   331.1   369.4   475.8  1354.5  3856.9  29982.5    30030  1778000156224  1778000166327
read      251.1   108.9    86.8   143.0   157.2   237.1   273.0   294.2   310.0   328.3   352.7   395.1   501.6  1515.7  3351.1  30018.8    30035  1778000167840  1778000177941
read      230.8    96.9    86.8   136.5   148.4   218.1   250.8   270.0   284.1   300.3   321.0   357.9   459.3  1127.5  3024.3  30025.0    30040  1778000179454  1778000189560
read      236.5   120.6    86.8   138.4   150.5   222.0   255.0   274.0   288.8   305.8   327.7   365.6   475.3  1694.4  4317.4  29981.3    30045  1778000191072  1778000201174
read      232.5   118.9    80.4   135.7   147.8   218.5   251.5   270.6   285.2   302.4   323.8   361.5   467.8  1454.4  4386.8  30101.9    30050  1778000202688  1778000212790
read      231.7   102.4    80.4   135.7   148.5   220.9   253.2   271.3   284.7   299.8   320.1   354.3   453.3  1062.1  3957.8  30018.6    30055  1778000214303  1778000224406
read      229.3    92.8    86.8   135.3   147.6   217.9   250.9   269.8   283.7   299.6   319.9   354.7   436.8   964.3  3232.2  29999.1    30060  1778000225919  1778000236022
read      236.8   112.9    86.8   136.5   149.0   222.3   255.9   275.1   290.2   307.9   331.1   370.2   498.9  1445.1  3390.7  30124.3    30065  1778000237534  1778000247635
read      235.4   130.9    86.8   132.4   144.8   219.5   253.1   272.7   287.7   305.5   329.3   370.7   506.8  1888.3  4528.7  30145.4    30070  1778000249147  1778000259249
read      228.1    92.3    80.4   136.4   149.0   217.5   249.0   266.6   279.1   294.0   314.1   345.1   443.7   954.3  3334.3  30025.8    30075  1778000260761  1778000270873
read      227.1    96.2    86.8   132.9   145.7   218.5   250.0   267.3   279.6   294.2   313.4   342.8   427.1   840.1  3490.2  30013.8    30080  1778000272387  1778000282489
read      227.3    93.1    80.4   128.7   141.8   219.0   251.4   269.4   282.3   296.8   316.8   348.2   440.1   798.1  3174.7  30121.7    30085  1778000284003  1778000294103
read      220.0    87.1    80.4   130.0   142.2   209.9   240.7   257.9   270.4   285.5   304.8   336.5   431.6   802.9  2980.0  30057.3    30090  1778000295617  1778000305720
read      230.4   100.3    80.4   134.7   147.1   219.7   252.5   270.8   284.5   300.0   320.1   355.5   452.8   905.0  3877.5  30079.3    30095  1778000307232  1778000317345
read      224.6    95.9    80.4   132.4   145.1   214.4   246.4   264.1   276.3   292.0   311.8   342.6   432.8   747.7  3221.7  30087.5    30100  1778000318858  1778000328961
read      226.3    98.4    80.4   129.1   141.6   215.0   248.5   267.4   281.0   296.8   318.1   354.7   462.1   868.7  2943.0  30121.5    30105  1778000330474  1778000340575
read      231.2    90.0    80.4   131.4   144.6   220.9   254.8   273.7   288.0   304.6   325.8   362.4   459.8   694.8  2862.7  30173.7    30110  1778000342089  1778000352201
