#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      217.8    92.5    80.4   125.3   139.7   205.8   237.0   256.7   271.4   288.8   310.0   340.6   402.6   742.9  3231.2  30050.4    30000  1778372244851  1778372254994
read      221.4   102.0    80.4   127.6   141.2   208.4   239.8   259.4   273.8   291.6   313.4   344.6   421.6  1087.0  3487.3  30026.7    30005  1778372256508  1778372266633
read      225.8   120.4    80.4   131.8   146.2   210.9   240.7   259.2   273.1   290.6   312.9   346.2   442.9  1841.3  4121.8  30075.8    30010  1778372268146  1778372278248
read      223.6   115.7    86.8   128.4   141.3   207.6   239.4   260.1   275.0   294.0   317.7   354.2   442.6  1605.0  4200.1  30028.2    30015  1778372279763  1778372289864
read      226.3   138.1    80.4   128.3   142.2   209.5   241.1   261.1   275.5   294.2   317.8   353.9   451.5  2055.6  5672.4  29998.9    30020  1778372291378  1778372301480
read      236.8   106.7    86.8   138.1   151.6   223.2   257.3   278.4   294.1   312.7   335.7   369.3   446.6   960.3  3855.0  30027.9    30025  1778372302993  1778372313099
read      221.2   104.2    80.4   127.7   141.2   208.4   239.4   259.0   273.5   291.2   313.2   344.8   418.6  1067.4  3403.5  30011.9    30030  1778372314612  1778372324714
read      219.2    90.4    80.4   128.4   141.8   207.1   237.3   256.9   271.7   289.5   311.3   342.0   402.3   760.5  2958.0  30096.3    30035  1778372326226  1778372336329
read      215.9    85.2    74.4   126.9   140.3   204.1   234.1   252.9   267.3   284.2   305.7   337.1   400.1   668.9  3197.2  30022.2    30040  1778372337843  1778372347944
read      225.9   114.6    80.4   130.6   144.4   212.2   244.2   263.9   278.3   296.1   318.1   351.1   431.2  1096.2  3628.9  30054.3    30045  1778372349456  1778372359569
read      229.5   119.3    86.8   128.7   141.9   213.1   247.9   269.7   286.1   305.1   329.0   365.2   455.5  1507.6  4266.5  30024.8    30050  1778372361082  1778372371183
read      238.6   108.5    86.8   136.4   151.6   224.4   258.7   279.1   294.4   312.8   335.9   371.5   463.5  1312.2  3419.3  30144.8    30055  1778372372696  1778372382800
read      225.8    98.5    86.8   127.6   140.8   211.2   244.3   265.2   280.7   299.4   323.0   360.0   443.8  1262.2  2750.1  30042.0    30060  1778372384314  1778372394418
read      236.1   111.2    86.8   138.1   152.4   221.3   253.6   273.2   288.4   306.5   329.7   366.3   461.2  1665.9  3692.4  30005.0    30065  1778372395932  1778372406037
read      245.6   116.9    80.4   137.9   153.4   230.0   266.7   288.4   304.5   322.9   346.6   387.0   484.4  1615.3  3844.2  30032.8    30070  1778372407551  1778372417652
read      227.0   108.9    74.4   132.5   146.9   214.4   245.5   264.6   278.6   295.9   318.5   353.0   431.1   978.2  3987.9  30109.9    30075  1778372419165  1778372429269
read      237.3   122.9    86.8   136.9   151.2   220.5   254.3   274.7   290.8   309.6   334.0   371.8   472.5  1615.7  4365.6  30167.8    30080  1778372430783  1778372440885
read      237.2   118.4    86.8   137.6   151.7   221.0   254.0   274.2   289.8   308.3   332.3   369.6   474.5  1646.4  4281.1  30070.3    30085  1778372442399  1778372452501
read      229.9   126.3    86.8   131.5   146.4   213.0   244.5   263.8   278.1   296.0   319.4   357.6   470.4  1983.1  3649.8  30164.3    30090  1778372454014  1778372464120
read      239.7   120.4    80.4   140.3   154.6   224.2   257.1   277.0   292.4   311.1   335.1   372.7   470.5  1531.7  5216.5  30015.0    30095  1778372465633  1778372475736
read      237.8   180.6    86.8   133.8   149.3   217.0   249.0   268.7   283.9   302.5   327.2   367.9   501.8  3182.4  6285.1  30035.8    30100  1778372477250  1778372487353
read      224.2   111.2    74.4   126.7   140.6   208.8   241.7   262.6   277.8   296.0   319.0   353.6   435.4  1614.4  3602.9  30187.8    30105  1778372488867  1778372498980
read      220.0    85.1    68.9   129.1   142.7   208.9   239.3   258.3   272.4   289.8   310.9   341.1   402.0   647.9  2947.1  30029.1    30110  1778372500493  1778372510598
