#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      232.6    98.0    86.8   135.6   148.6   221.7   255.2   274.2   288.6   305.0   325.1   358.9   439.9   772.7  3845.2  30005.7    30000  1778010217727  1778010227932
read      229.8   101.5    86.8   134.5   146.7   218.2   251.9   271.2   285.3   301.4   321.5   356.1   437.2   976.9  3303.9  30059.3    30005  1778010229444  1778010239576
read      237.2   114.8    86.8   135.1   148.8   223.5   257.3   276.4   290.7   307.4   328.7   365.6   481.5  1667.8  3530.9  29994.2    30010  1778010241089  1778010251191
read      230.7    92.8    80.4   135.2   148.0   220.2   253.4   272.4   286.5   302.3   321.6   355.3   444.8   659.6  3237.7  29935.6    30015  1778010252703  1778010262808
read      237.3   108.8    86.8   138.0   150.8   222.9   257.4   277.5   292.6   310.4   333.7   371.7   469.9  1357.0  3677.6  29992.3    30020  1778010264320  1778010274420
read      244.0   128.6    86.8   138.5   152.0   227.1   264.1   285.7   301.2   319.3   344.5   387.0   489.9  1952.6  4298.7  30055.2    30025  1778010275934  1778010286037
read      235.8   113.9    80.4   137.9   150.3   221.7   255.7   275.9   291.1   308.7   331.0   366.7   459.1  1435.6  3971.6  29985.2    30030  1778010287549  1778010297650
read      241.2   115.2    86.8   141.1   154.3   225.4   259.4   279.5   294.7   313.5   338.3   380.2   488.0  1456.4  4234.7  29991.0    30035  1778010299163  1778010309264
read      238.7   104.3    86.8   139.9   152.6   222.7   257.3   278.3   294.1   312.7   337.0   376.8   490.3  1255.0  3339.9  30002.2    30040  1778010310776  1778010320877
read      239.6   114.1    86.8   137.9   150.6   224.7   260.3   281.2   296.3   314.5   338.1   376.6   473.9  1555.5  3931.9  30096.1    30045  1778010322390  1778010332492
read      238.2   114.4    80.4   135.5   149.7   223.9   258.0   278.0   292.9   310.7   334.1   372.8   476.3  1596.1  4062.1  30158.1    30050  1778010334004  1778010344106
read      230.1   103.3    80.4   131.1   144.4   218.2   251.8   271.2   285.3   301.3   321.6   359.6   460.5  1126.3  3143.9  30160.1    30055  1778010345620  1778010355724
read      235.0   116.7    86.8   133.5   147.1   220.0   254.4   274.6   289.7   307.2   329.6   367.3   471.1  1603.4  3845.5  29998.2    30060  1778010357237  1778010367340
read      217.2    99.1    80.4   129.7   140.7   203.6   234.2   252.4   266.2   282.3   302.7   335.1   435.8  1171.7  3159.2  30046.9    30065  1778010368852  1778010378954
read      223.9   112.7    80.4   129.0   141.0   210.5   242.8   262.0   275.5   292.5   314.0   347.1   442.6  1532.7  3669.6  30032.3    30070  1778010380465  1778010390568
read      228.0    98.7    80.4   133.7   146.2   217.4   249.9   268.5   281.7   296.6   316.4   346.8   432.5   945.7  3489.5  30014.9    30075  1778010392079  1778010402187
read      225.7    86.1    80.4   134.2   147.0   215.5   246.8   264.9   277.6   293.4   313.5   344.2   431.9   785.0  2714.9  30094.6    30080  1778010403699  1778010413802
read      229.2    85.2    86.8   135.2   148.1   220.0   252.4   270.6   284.0   299.0   318.7   350.0   431.7   585.3  2542.4  30123.3    30085  1778010415315  1778010425421
read      220.7    85.5    80.4   129.2   141.8   212.3   242.9   260.1   272.5   287.6   306.4   336.6   416.6   658.0  3049.7  30096.1    30090  1778010426935  1778010437037
read      223.2    89.0    80.4   133.2   145.2   213.5   244.5   262.1   274.3   290.1   309.8   339.9   420.2   681.0  3308.0  30119.8    30095  1778010438550  1778010448654
