#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      266.2   123.5    93.8   163.6   177.8   250.1   284.9   305.1   319.7   339.6   366.0   409.1   524.8  1284.7  5098.6  29960.3    30000  1777259972056  1777259982214
read      269.4   111.0   101.3   164.7   178.6   253.4   289.6   310.6   326.1   345.5   371.9   415.7   536.3  1240.9  3728.5  30040.0    30005  1777259983729  1777259993874
read      266.5   117.8    93.8   162.3   175.5   249.5   286.9   308.4   323.8   343.6   370.0   413.8   539.6  1265.3  4188.7  29968.6    30010  1777259995387  1777260005495
read      272.7   123.5   101.3   164.3   178.3   256.3   293.3   314.9   331.4   351.3   378.1   423.5   544.9  1413.4  4374.2  30067.2    30015  1777260007010  1777260017118
read      251.6   108.4   101.3   158.4   169.9   234.8   269.9   290.3   305.3   322.5   346.7   386.8   489.8  1132.6  3908.3  29995.3    30020  1777260018631  1777260028749
read      260.8   120.7    93.8   160.4   173.1   244.1   280.4   301.3   316.8   336.6   362.9   403.6   520.7  1145.4  4395.1  30082.7    30025  1777260030264  1777260040369
read      268.6   117.4   101.3   163.1   176.8   252.4   289.6   311.1   327.0   346.5   372.8   417.4   540.2  1034.7  4400.0  29976.9    30030  1777260041885  1777260051990
read      263.0   113.1    93.8   159.6   172.7   245.5   282.0   303.3   319.1   339.7   367.0   411.6   546.4  1359.4  3816.4  30077.5    30035  1777260053504  1777260063608
read      267.7   167.5   101.3   162.0   175.4   249.7   285.7   306.9   322.0   342.5   369.7   414.2   541.8  1437.3  9790.2  30218.7    30040  1777260065122  1777260075231
read      259.2   126.4   101.3   158.9   171.2   240.7   276.0   296.6   312.7   332.3   359.6   402.9   545.2  1514.3  4817.2  30028.1    30045  1777260076746  1777260086857
read      261.9   120.3   101.3   161.6   174.2   243.6   279.1   300.0   315.8   335.8   363.2   406.8   545.8  1408.0  4316.4  29952.8    30050  1777260088373  1777260098485
read      254.1   115.1   101.3   159.6   171.1   237.1   271.9   292.3   307.6   325.6   350.3   391.6   500.4  1134.5  4308.5  30000.6    30055  1777260100001  1777260110108
read      268.8   159.9    93.8   159.0   172.3   242.3   277.6   298.2   314.5   334.7   363.7   421.4   854.7  2210.7  5108.8  30013.0    30060  1777260111623  1777260121728
read      274.9   255.3    93.8   152.2   164.8   232.3   267.7   288.6   304.4   323.9   355.2   434.8  1137.4  3598.9  6315.3  30111.8    30065  1777260123244  1777260133344
read      272.0   240.4    93.8   152.6   164.8   231.4   265.8   286.0   301.1   319.7   348.2   423.8  1161.5  3233.4  6291.6  30066.4    30070  1777260134857  1777260144961
read      272.5   238.8    93.8   152.8   165.2   231.8   266.5   286.9   302.1   320.8   350.8   428.0  1162.7  3278.2  6217.2  30034.7    30075  1777260146474  1777260156580
read      276.0   244.9   101.3   154.4   166.9   233.6   268.5   289.1   304.7   324.0   354.9   434.2  1168.5  3335.9  6286.3  30089.7    30080  1777260158094  1777260168204
read      271.3   236.7    93.8   152.7   164.8   230.1   264.9   285.5   300.6   319.5   348.0   420.6  1171.6  3250.3  6216.3  30106.6    30085  1777260169719  1777260179826
read      262.0   231.7    93.8   150.0   161.5   222.7   254.8   274.0   289.1   307.9   335.8   407.4  1095.7  3329.9  6235.7  30141.4    30090  1777260181340  1777260191445
read      286.0   258.1   101.3   158.0   171.8   245.6   281.8   303.1   318.9   340.6   372.1   444.5  1197.7  3461.5  6324.0  30196.3    30095  1777260192958  1777260203080
read      251.0   114.9    86.8   154.1   167.0   234.9   269.9   290.0   304.9   322.1   346.2   387.0   484.8  1090.1  4322.4  30139.5    30100  1777260204595  1777260214702
read      262.3   111.3   101.3   162.5   176.1   246.9   281.7   301.9   316.9   335.9   361.6   403.5   511.7  1008.7  4271.8  30090.0    30105  1777260216216  1777260226321
