#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      260.3   132.3    93.8   153.1   166.9   238.8   275.7   298.3   315.9   337.6   366.6   418.8   599.5  1489.6  4698.5  29863.8    30000  1777240716292  1777240726488
read      265.2   121.3   101.3   158.0   172.1   245.1   281.3   303.0   319.1   340.1   369.2   422.8   622.1  1427.9  3625.3  30072.1    30005  1777240728004  1777240738127
read      253.4   114.5    93.8   153.1   165.7   233.3   268.5   289.7   305.9   325.5   352.8   401.2   590.1  1319.7  3207.7  30063.3    30010  1777240739644  1777240749746
read      252.9   149.7    93.8   148.6   160.8   229.7   265.5   287.2   303.6   323.9   352.1   402.8   618.2  2431.0  4747.7  30024.4    30015  1777240751260  1777240761366
read      253.4   145.0    93.8   151.7   164.1   231.5   266.5   287.8   304.1   323.7   350.8   396.6   567.3  2188.2  5131.6  29969.5    30020  1777240762880  1777240772981
read      266.6   132.7    93.8   153.2   167.1   242.0   280.5   304.1   321.5   344.1   375.9   439.6   701.0  1645.0  3970.0  30043.9    30025  1777240774496  1777240784597
read      265.0   137.1   101.3   156.4   170.1   241.3   278.2   300.6   317.8   339.7   370.0   429.5   659.2  1817.3  4484.1  30026.1    30030  1777240786110  1777240796211
read      259.8   120.7    93.8   151.6   165.5   240.5   278.1   300.5   317.2   338.2   366.6   417.2   588.9  1254.5  3324.8  29984.3    30035  1777240797726  1777240807833
read      258.1   115.3    93.8   154.7   168.5   241.6   278.2   300.2   316.7   336.8   362.7   402.5   504.1   956.2  4229.2  30096.5    30040  1777240809348  1777240819453
read      237.1    94.8    93.8   143.3   155.4   221.7   253.9   273.4   289.0   307.9   333.4   374.7   492.4   861.0  3121.3  30021.5    30045  1777240820967  1777240831069
read      256.9   128.2   101.3   153.5   166.7   238.0   274.0   295.5   312.2   332.0   358.4   400.4   528.8  1830.9  4019.0  30093.4    30050  1777240832583  1777240842687
read      247.6   125.1    93.8   151.2   163.4   229.6   263.8   284.3   299.1   318.0   342.6   383.1   498.0  1795.8  4531.9  30087.7    30055  1777240844200  1777240854300
read      261.0   112.7    93.8   156.6   170.5   244.9   281.1   302.5   318.2   338.2   364.2   403.8   513.4  1428.6  3444.3  30078.2    30060  1777240855815  1777240865918
read      264.6   116.8   101.3   158.4   172.9   249.1   285.7   307.1   322.2   342.2   368.1   407.7   506.8  1365.1  4300.8  30114.5    30065  1777240867433  1777240877532
read      260.1   109.7    93.8   155.7   169.6   244.7   281.3   302.6   318.1   337.9   363.4   402.4   501.2  1263.0  3191.9  30185.6    30070  1777240879047  1777240889148
read      258.8   134.7    93.8   154.5   167.9   239.6   275.4   297.0   313.8   333.6   360.0   401.8   532.0  1986.5  5590.2  29967.1    30075  1777240890662  1777240900763
read      251.2   103.8   101.3   154.0   166.7   234.8   269.6   290.2   305.7   324.0   348.5   390.6   494.0  1153.4  3360.9  30035.8    30080  1777240902276  1777240912377
read      247.6   107.5    93.8   151.8   164.4   231.8   265.7   285.6   300.1   318.2   342.5   381.8   485.8  1296.4  4135.2  30073.4    30085  1777240913891  1777240923993
read      252.4   123.1    93.8   153.0   165.8   234.4   269.8   290.5   306.2   324.6   348.9   389.7   501.9  1659.9  4394.8  30038.2    30090  1777240925508  1777240935608
read      262.6   120.9   101.3   155.4   169.3   245.1   282.5   304.5   320.5   340.8   367.5   410.7   535.6  1460.0  3988.2  30106.5    30095  1777240937123  1777240947224
read      260.9   177.0    93.8   152.9   165.9   238.5   274.7   296.1   312.8   332.7   359.2   402.0   565.0  3162.8  6340.5  30128.2    30100  1777240948739  1777240958842
read      261.4   162.1   101.3   152.2   165.3   240.6   278.0   299.9   316.3   336.4   362.5   403.2   549.6  2609.1  6287.7  30057.0    30105  1777240960357  1777240970474
read      249.2   126.0    93.8   150.5   162.6   230.5   266.2   287.3   303.1   321.6   346.6   389.1   509.5  1687.4  5123.0  30094.9    30110  1777240971988  1777240982092
read      254.7   124.2    93.8   152.9   166.2   238.1   274.3   295.6   311.8   330.8   355.7   397.0   503.1  1119.3  4981.9  30099.3    30115  1777240983612  1777240993730
