#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      238.8   101.9    93.8   152.3   164.5   227.6   257.6   273.9   286.7   300.8   318.9   347.8   428.1  1111.6  4073.1  29945.5    30000  1777265201696  1777265211848
read      245.5    89.0    93.8   156.5   169.3   233.6   264.4   281.7   294.4   310.4   330.8   364.2   454.0   930.8  2728.3  30042.5    30005  1777265213363  1777265223509
read      237.9   101.2    93.8   151.7   164.0   226.6   255.5   272.2   285.0   299.3   318.6   348.1   431.0   983.8  4070.0  30031.4    30010  1777265225024  1777265235128
read      245.0   546.8    93.8   154.2   167.3   233.4   263.9   280.8   293.0   308.0   326.6   357.0   431.0   806.9  3923.1  29969.3    30015  1777265236642  1777265246743
read      252.2   111.5   101.3   157.0   170.3   238.6   271.1   289.6   303.0   318.8   340.8   374.5   471.3  1423.5  3896.7  30060.2    30020  1777265248257  1777265258359
read      240.1   106.0    93.8   152.6   164.5   226.0   256.0   274.0   287.9   303.9   323.8   357.6   450.9  1332.5  4230.5  30120.4    30025  1777265259874  1777265269978
read      252.0   101.5    93.8   157.3   170.6   238.1   270.6   289.5   303.3   319.2   341.8   377.4   487.9  1195.8  3357.7  30115.1    30030  1777265271491  1777265281594
read      245.7   111.6    93.8   154.3   166.6   230.4   261.8   280.1   293.9   311.1   333.5   369.0   485.2  1498.4  4413.6  29953.6    30035  1777265283109  1777265293211
read      247.7   114.2    93.8   154.6   166.7   231.6   263.8   282.5   296.1   313.8   336.7   373.7   515.5  1458.7  4112.0  30131.9    30040  1777265294727  1777265304829
read      255.8   159.4   101.3   154.1   166.3   232.0   265.5   285.3   300.0   318.5   344.6   398.4   660.8  2351.4  6034.4  30049.8    30045  1777265306345  1777265316456
read      251.2   116.4    93.8   151.3   164.6   235.8   270.0   289.2   303.0   319.2   342.3   381.5   533.3  1425.5  4126.0  29998.4    30050  1777265317972  1777265328077
read      253.9   111.7    93.8   153.6   167.2   238.3   272.5   292.2   306.8   323.5   346.4   387.2   532.8  1375.7  3670.3  30069.7    30055  1777265329592  1777265339698
read      241.4   118.4    86.8   148.8   160.8   225.1   257.1   275.9   290.5   307.6   329.7   366.7   497.4  1736.8  3568.8  30044.4    30060  1777265341212  1777265351316
read      246.7   114.8    93.8   151.0   163.8   231.4   264.5   283.6   297.1   314.3   336.6   372.1   494.4  1460.9  3751.7  30131.2    30065  1777265352829  1777265362932
read      243.3   107.3    93.8   152.0   164.4   228.3   259.5   277.4   291.3   308.2   330.1   366.7   494.0  1351.5  3728.9  30031.1    30070  1777265364446  1777265374545
read      258.5   144.7    93.8   154.5   167.7   239.8   274.3   294.6   309.7   327.1   350.2   391.7   561.6  2125.7  5035.1  30226.6    30075  1777265376059  1777265386161
read      246.0   114.0    86.8   151.9   164.8   232.9   265.4   283.4   296.0   312.2   332.5   365.0   462.1  1512.4  4335.2  30148.6    30080  1777265387675  1777265397779
read      249.7   105.0    93.8   156.1   169.4   237.5   269.3   287.2   299.7   315.3   336.1   369.3   473.0  1143.3  4194.5  30073.8    30085  1777265399295  1777265409400
read      247.2    98.6    93.8   160.6   173.5   235.4   265.6   282.7   295.0   310.3   329.4   360.8   444.8   787.4  4122.5  30125.2    30090  1777265410915  1777265421017
read      239.6   103.0    93.8   152.3   164.8   228.3   258.2   275.0   288.1   302.7   320.7   351.8   432.9   930.3  3939.6  30064.2    30095  1777265422533  1777265432636
read      238.8   100.1    93.8   151.8   164.3   226.5   255.8   272.9   286.0   300.9   320.1   352.5   449.8  1019.9  3470.9  30072.6    30100  1777265434150  1777265444253
read      245.1    98.6    93.8   153.5   166.8   234.3   265.6   283.0   295.2   310.7   330.3   362.5   445.1   789.3  3887.1  30058.8    30105  1777265445766  1777265455873
